train,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
753А-C1,-0.8169239535955759,-0.7977244384501387,-0.2859189341251585,0.2903891006854567,0.33648382787251,0.5744744684904531,0.9103940764747502
753А-C2,-1.2379032391453912,0.1125345443922145,0.6860133939421947,0.7016298579221282,0.166755247754448,-0.4769158740732369,-0.1873095992547903
755А-B1,-0.3861320666268342,-1.063041197959127,-0.2675324736507763,0.2022058118187745,0.5697592846461854,0.765656307252659,0.51176513202019
755А-B2,-0.8690838540388852,0.2970455124840718,0.4879943125842176,0.4085897458250869,0.2110549931219224,-0.4759007258699766,-0.1139215743935683
755А-C1,-0.7120873609181495,-0.4483430149114532,0.2416179904389735,0.2519505287814107,0.2421831652082068,0.1693042580996974,0.402147785637829
759А-B1,-0.1282668209884171,-0.2666971279234894,0.1284095277972384,-0.134840504522223,-0.0523390520229308,0.7033585816749892,-0.200710750619322
759А-B2,-1.1983289108707331,0.4527592147494957,0.8472695544961898,0.6281460336118916,-0.1229060125166897,-0.172781734494227,-0.8223203399242519
759А-C1,-0.7185814702398363,0.1131515076256079,0.4176512168953598,0.3746187594160856,-0.5059820820306301,0.5539744842457424,-0.370900295073827
002А-Купе,0.7461910447154767,0.6092869628119705,0.4566271090942068,-0.8897034283482621,-0.6782537116944249,0.1127881650482192,-0.4830340106036984
006А-СВ,0.2602858625875596,0.605022248818959,0.5064179483348928,-0.6934259533061266,-1.219640710159217,0.2853370201058418,-0.0319260574819806
708Н-СВ,0.6829705590334448,0.4531254946011416,-0.3294826372269329,0.0523033024487016,-1.6023592975039684,0.7324602151768228,0.1968430081326961
708Н-Сидячий,-0.0021133953038746,1.1516117440712337,0.8672509176042567,-0.6552593397267978,-1.4616031756818078,0.5900505448001442,-1.1957105713448135
710Н-СВ,0.9856818625496104,0.3712780378770027,-0.3611767864646084,-0.6133384088074303,-1.5176256505620231,1.2042294001669305,0.3075662910616296
752А-C1,0.1353468444932661,-0.1632400566074406,-0.2671962816025768,-0.6624503152025021,-0.3922772352151441,0.4020874870793408,0.9519188308304344
754А-B1,0.049363133874214,0.1667234943594466,-0.3279363264288641,-1.0844970705673609,-0.3899994646511859,0.4650435138883548,0.9264900794009034
754А-C1,0.2289910755002337,-0.2805864738476766,0.2878131931034811,-0.7455517389120274,-0.9053678203719218,0.3239262431891624,0.9490646415890418
756А-B1,0.0069395156640791,0.2529369839873338,-0.0087354243152491,-0.5448111194082359,-1.1700086901332962,0.4793012516068871,0.9621657151380576
756А-C1,0.290097002164886,0.3057615232604724,0.0194541220454453,-0.8833706428166211,-1.3708969567679428,0.560744609697127,0.8578081210774885
760А-B1,0.1820489555209362,0.109788056380316,0.10160008023555,-0.8815829084632312,-0.8160357157158735,0.1694913009920788,0.5940113936954118
760А-C1,0.1195844427959658,0.3243824792822952,0.0950427516499262,-0.762353638909517,-1.3571077197341153,0.536800981110026,0.4321844395843499
766А-B1,-0.0496759092594167,0.4420201874234529,-0.0884481799627028,-0.3568699083016069,-0.9536676022490224,0.2219997345044505,0.7232028780364113
766А-B2,-0.5550995226811646,0.2312655202071006,0.5062688174048908,-0.3058572774735237,-1.0856748939258394,0.8919400455279062,0.0247883994897102
766А-C1,0.0847769454524387,0.5620395598872632,0.029479003000028,-0.2236200824773209,-1.291582763711673,0.1418174776576078,0.6801344711011701
766А-C2,-0.5414286095312436,0.7328603631335332,0.7083877347211999,-0.3698357939898773,-1.6342033950683132,0.589427693452818,0.1258729692940877
768А-B1,0.2156649377846279,0.2215339379083419,0.5264235190432314,-0.617888671262564,-1.2871125087539326,0.5313438729946811,0.1492769034549684
768А-B2,0.0552297417858032,0.5294722212102925,0.5035604078225043,-0.4990293544621929,-1.4748909595378583,0.3823822496306702,-0.1191263925908794
768А-C1,0.3363045148675019,0.6535480614366942,-0.3653039654387399,-0.8621947523067709,-0.7006980672934912,0.4191652176315448,0.2856129686721003
770А-B1,0.3934864441434123,0.6801353358197129,0.0649696609109932,-0.8196153639733996,-1.35796683519273,0.414920914567112,0.3806949937768206
770А-B2,-0.0101871930028875,0.7856763519263052,0.6046111256511688,-0.308365111144889,-1.440385546955235,0.3921411702505334,-0.346755982343375
770А-C1,0.3121767606482554,0.4606338501641949,0.0269474569748271,-0.5937664320801294,-1.014472188268653,0.7098916701384782,-0.1268493816366683
770А-C2,0.1171403069083948,0.9190881495601207,0.782234270520962,-0.1400087055786737,-1.6423859115774786,0.202589846072009,-0.7010962802143718
772А-B1,0.5616422155746077,0.318602333942086,-0.2585946406072614,-0.8454204556216489,-1.1282614744630886,0.7323006225150638,0.3380287158092059
772А-B2,0.4174971893938236,0.5725127678381863,0.1323564195117893,-0.2547232363331554,-1.8623909562568288,0.6910604993582425,-0.3383836681713041
772А-C1,0.3532510561544352,0.2674243504236964,-0.6388134933947005,-0.6282594972475007,-1.5019173280460432,1.0229550849342923,0.5854706004766471
772А-C2,0.2399420094860148,0.7150223214144129,0.7039376896924391,0.0134895685755484,-1.947026283692156,0.4629307644648931,-0.5889547704172653
776А-B1,0.6830662096855187,0.4987813223028821,-0.1829475093080891,-0.6442407637352592,-1.3990682915862644,0.6830599822821891,0.3057803058726496
776А-B2,0.7917798744717167,0.4781723646353049,-0.0559676376447756,-0.6537512264099129,-1.6790486224610588,0.8495627533518897,-0.052195641934643
776А-C1,0.6843766689901776,0.2966904198865305,-0.5853368553132546,-0.7075486682630121,-1.1699193114635946,0.9077258281583755,0.4330164596558291
776А-C2,0.5143640666466958,0.7734435079778461,0.4831438062071685,-0.3246864884292342,-1.8632099738792025,0.6214560001402958,-0.6083066247425593
778А-B1,0.5816619559456144,0.1785278083408895,-0.7215559232258109,-0.4234900565203239,-1.103377401318202,0.9448595440245806,0.3892659071356741
778А-B2,0.6345544000501739,0.2369858137589864,-0.1548364429690864,-0.6122284426779874,-1.605870012047255,0.4671441693616891,0.4295537054403441
778А-C1,0.3708970162537677,-0.0301890564178863,-0.0842501847209879,-0.3246333859849197,-1.1376906666522302,0.7300501856947038,0.2721248619507905
778А-C2,0.5865480221739559,0.6079180602819158,0.2465425441730084,-0.2586764183205611,-1.6943223999407873,0.627874260558281,-0.464254182989107
780А-B1,0.3158206341574529,0.4889399529683302,-0.527640480183607,-0.368162092867401,-0.8277050896046061,0.7167138582542616,0.0416342913663531
780А-B2,0.8862386171822513,0.4392156429678434,0.0479402480679429,-0.7187160451308716,-1.6183944151284688,0.8119324456602783,-0.6148113325819043
780А-C1,0.6198545987182327,0.2218048367471016,-0.3263355849837915,-0.8603774977117677,-1.1354706982231315,1.098041788381192,0.2237059224102211
780А-C2,0.706224325706812,0.7833725031286486,0.5507303549580802,-0.3690901720619254,-1.4688755822246695,0.543311326795052,-1.135584174748466
